CMDLINE 24458
MEM 813.703125 1669842645.8429
MEM 813.703125 1669842645.9482
MEM 813.703125 1669842646.0536
MEM 813.703125 1669842646.1554
MEM 813.703125 1669842646.2584
MEM 813.703125 1669842646.3638
MEM 813.703125 1669842646.4692
MEM 813.703125 1669842646.5741
MEM 813.703125 1669842646.6787
MEM 813.707031 1669842646.7832
MEM 813.707031 1669842646.8872
MEM 813.820312 1669842646.9903
MEM 814.699219 1669842647.0925
MEM 814.960938 1669842647.1939
MEM 814.960938 1669842647.2991
MEM 815.312500 1669842647.4029
MEM 816.167969 1669842647.5071
MEM 819.710938 1669842647.6113
MEM 819.828125 1669842647.7156
MEM 821.152344 1669842647.8198
MEM 821.167969 1669842647.9239
MEM 822.410156 1669842648.0279
MEM 833.312500 1669842648.1288
MEM 839.781250 1669842648.2322
MEM 843.273438 1669842648.3371
MEM 843.437500 1669842648.4422
MEM 843.437500 1669842648.5434
MEM 843.949219 1669842648.6446
MEM 844.824219 1669842648.7497
MEM 865.859375 1669842648.8530
MEM 849.425781 1669842648.9571
MEM 869.117188 1669842649.0623
MEM 867.496094 1669842649.1658
MEM 867.496094 1669842649.2681
MEM 876.402344 1669842649.3697
MEM 913.824219 1669842649.4749
MEM 994.320312 1669842649.5790
MEM 994.460938 1669842649.6798
MEM 994.882812 1669842649.7849
MEM 995.281250 1669842649.8901
MEM 995.441406 1669842649.9953
MEM 1000.371094 1669842650.1004
MEM 1000.363281 1669842650.2056
MEM 1000.875000 1669842650.3110
MEM 1001.187500 1669842650.4156
MEM 1001.570312 1669842650.5208
MEM 1001.570312 1669842650.6259
MEM 1002.589844 1669842650.7310
MEM 1003.367188 1669842650.8351
MEM 1003.511719 1669842650.9403
MEM 1003.593750 1669842651.0454
MEM 1004.464844 1669842651.1506
MEM 1005.496094 1669842651.2530
MEM 1024.562500 1669842651.3573
MEM 1025.128906 1669842651.4625
MEM 1025.617188 1669842651.5676
MEM 1025.617188 1669842651.6727
MEM 1029.136719 1669842651.7738
MEM 1041.046875 1669842651.8790
MEM 1042.214844 1669842651.9843
MEM 1042.339844 1669842652.0894
MEM 1043.246094 1669842652.1946
MEM 1043.398438 1669842652.2988
